year;Valence;Energy;Danceability
1946;0,458780487804878;0,22105365853658537;0,48034146341463413
1947;0,4899638297872341;0,259731914893617;0,49368085106382975
1948;0,5308205128205129;0,2552358974358974;0,5142051282051282
1949;0,47753333333333337;0,31628666666666666;0,4595
1950;0,5241333333333333;0,2704633333333334;0,5103000000000001
1951;0,5343333333333333;0,38203333333333334;0,47063333333333335
1952;0,5139;0,29037;0,5021333333333333
1953;0,4295833333333333;0,26477999999999996;0,49033333333333334
1954;0,4877333333333333;0,29425;0,4735666666666667
1955;0,5544333333333333;0,39785;0,518
1956;0,5877;0,394262;0,49256
1957;0,6967;0,46889200000000003;0,54988
1958;0,66464;0,49308;0,5543
1959;0,6632222222222223;0,5119686868686869;0,5313838383838384
1960;0,6824410000000001;0,47585299999999997;0,53714
1961;0,67854;0,472668;0,55123
1962;0,6806099999999999;0,490712;0,55708
1963;0,7028300000000001;0,5206770000000001;0,54072
1964;0,698209;0,560947;0,55029
1965;0,68;0,57011;0,5486
1966;0,70563;0,57083;0,55569
1967;0,6467;0,52895;0,52911
1968;0,671958;0,52937;0,5616
1969;0,6485;0,51712;0,54403
1970;0,69191;0,61217;0,54277
1971;0,67833;0,557867;0,58368
1972;0,65521;0,532802;0,57869
1973;0,6861700000000001;0,55432;0,56987
1974;0,660709;0,58074;0,59497
1975;0,64583;0,55905;0,58024
1976;0,6987070707070707;0,611979797979798;0,6103333333333334
1977;0,618855;0,58221;0,58329
1978;0,623955;0,551064;0,60719
1979;0,6990430000000001;0,59899;0,6342099999999999
1980;0,6444589999999999;0,549064;0,62175
1981;0,586013;0,53834;0,6078600000000001
1982;0,645976;0,5891299999999999;0,62017
1983;0,646253;0,620433;0,63954
1984;0,683129;0,684587;0,6570199999999999
1985;0,65467;0,64012;0,6451699999999999
1986;0,659195;0,64813;0,64212
1987;0,63097;0,64782;0,6405200000000001
1988;0,612947;0,662111;0,6331600000000001
1989;0,58795;0,66795;0,61681
1990;0,618251;0,6615300000000001;0,65807
1991;0,590808;0,65196;0,63018
1992;0,559496;0,61551;0,63896
1993;0,554848;0,61712;0,65872
1994;0,535158;0,58855;0,64964
1995;0,542832;0,6176200000000001;0,6421399999999999
1996;0,5975699999999999;0,6262;0,6522100000000001
1997;0,549585;0,584904;0,67388
1998;0,544739;0,6038;0,6679900000000001
1999;0,539088;0,620794;0,6533199999999999
2000;0,618822;0,70133;0,6770999999999999
2001;0,583274;0,6759000000000001;0,6620999999999999
2002;0,609832;0,6977500000000001;0,66899
2003;0,5973040000000001;0,67381;0,6660200000000001
2004;0,589681;0,67321;0,67947
2005;0,5507373737373737;0,6716868686868687;0,6738888888888889
2006;0,55672;0,6756399999999999;0,68953
2007;0,56165;0,70492;0,65342
2008;0,524213;0,70938;0,64869
2009;0,5375099999999999;0,72615;0,63241
2010;0,5538659793814433;0,7511855670103093;0,6250412371134021
2011;0,528247;0,75277;0,62598
2012;0,553426;0,7283499999999999;0,64917
2013;0,5106888888888889;0,6993636363636363;0,6364343434343435
2014;0,522316;0,6931100000000001;0,64693
2015;0,502657;0,652633;0,66251
2016;0,4495262626262626;0,6177626262626262;0,6660202020202021
2017;0,5009709999999999;0,6239399999999999;0,7120799999999999
2018;0,44306399999999996;0,63152;0,7154600000000001
2019;0,481567;0,61723;0,7145999999999999
2020;0,481462;0,6103999999999999;0,69355
2021;0,48412700000000003;0,6007;0,6685
2022;0,545913;0,6452100000000001;0,66175
