Land,Finanzkrise,Eurokrise,COVID
ARG,13.430061729912321,59.058914784887186,-14.266562914994175
AUS,4.441234262241296,59.41547849681709,-5.818136050976201
BRA,17.12579646772989,43.55779039271289,-21.657531867112805
CAN,-8.475579009941773,28.778640111598815,-6.073043773610184
CHN,42.54601833329358,83.33983459236461,2.75128658620141
DEU,0.28562575844316124,11.148429793637767,-0.5483573820976292
FRA,0.5830798850646236,2.255294048902404,-3.0647780814564847
GBR,-22.95066072993898,11.78591720811532,-5.435889924257455
IDN,21.679539905055304,60.76746843909534,-6.166273330758221
IND,7.149779124882662,30.859336729999693,-6.58294481493999
ITA,-1.9207917557393313,-3.768068364134844,-5.090683518409249
JPN,15.45590570523309,-0.9933645742971522,-0.958093345483452
KOR,-20.500370739360772,42.694120832378815,-0.5355859928822171
MEX,-16.880868528553652,33.15971422869165,-14.73818843034268
RUS,-5.915843148506669,86.17044838174466,-11.699938732923146
SAU,-4.7201118809502445,57.26859930862766,-17.681872311821795
ZAF,-3.2942130451829392,15.011659100849009,-14.587534540400062
TUR,-7.064589559615767,39.20526376589753,-6.355518946114823
USA,-1.7799717777532371,12.679471535211203,-1.900492589508497
